,date,weekday,is_festival,guests,sales,assigned_staff,total_staff_level,staff_count,sale_per_guest,staff_per_guest,level_per_staff,month,season,Unnamed: 0,weather_code (wmo code),temperature_2m_mean (°C),snowfall_sum (cm),rain_sum (mm)
0,2000-01-01,Saturday,0,245,293932,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Bob']",22,5,1199.722448979592,0.0204081632653061,4.4,1,winter,5640.0,2.0,3.9,0.0,0.0
1,2000-01-02,Sunday,0,260,311917,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Charlie']",23,5,1199.6807692307693,0.0192307692307692,4.6,1,winter,5641.0,3.0,5.0,0.0,0.0
2,2000-01-03,Monday,0,163,195608,"['Eve', 'Ivy', 'David']",14,3,1200.0490797546013,0.0184049079754601,4.666666666666667,1,winter,5642.0,1.0,6.7,0.0,0.0
3,2000-01-04,Tuesday,0,166,199243,"['Eve', 'Ivy', 'David']",14,3,1200.2590361445782,0.0180722891566265,4.666666666666667,1,winter,5643.0,0.0,5.2,0.0,0.0
4,2000-01-05,Wednesday,0,148,177537,"['Eve', 'Ivy', 'Charlie']",13,3,1199.5743243243244,0.0202702702702702,4.333333333333333,1,winter,5644.0,3.0,7.5,0.0,0.0
5,2000-01-06,Thursday,0,143,171663,"['Eve', 'Ivy', 'Bob']",12,3,1200.4405594405594,0.0209790209790209,4.0,1,winter,5645.0,3.0,10.3,0.0,0.0
6,2000-01-07,Friday,0,108,129506,"['Eve', 'David']",9,2,1199.1296296296296,0.0185185185185185,4.5,1,winter,5646.0,53.0,11.2,0.0,2.1
7,2000-01-08,Saturday,0,200,239933,"['Eve', 'Ivy', 'Mia', 'Charlie']",18,4,1199.665,0.02,4.5,1,winter,5647.0,53.0,5.4,0.0,2.1
8,2000-01-09,Sunday,0,276,331237,"['Eve', 'Ivy', 'Mia', 'Quinn', 'David']",24,5,1200.1340579710145,0.0181159420289855,4.8,1,winter,5648.0,53.0,7.9,0.0,2.2
9,2000-01-10,Monday,0,106,127104,"['Eve', 'David']",9,2,1199.0943396226414,0.0188679245283018,4.5,1,winter,5649.0,61.0,7.8,0.0,5.9
10,2000-01-11,Tuesday,0,138,165635,"['Eve', 'Ivy', 'Bob']",12,3,1200.2536231884058,0.0217391304347826,4.0,1,winter,5650.0,3.0,3.8,0.0,0.0
11,2000-01-12,Wednesday,0,143,171634,"['Eve', 'Ivy', 'Bob']",12,3,1200.2377622377621,0.0209790209790209,4.0,1,winter,5651.0,71.0,3.8,0.14,28.0
12,2000-01-13,Thursday,0,100,119958,"['Eve', 'David']",9,2,1199.58,0.02,4.5,1,winter,5652.0,61.0,8.2,0.0,8.6
13,2000-01-14,Friday,0,165,198090,"['Eve', 'Ivy', 'David']",14,3,1200.5454545454545,0.0181818181818181,4.666666666666667,1,winter,5653.0,53.0,7.9,0.0,3.1
14,2000-01-15,Saturday,0,241,289202,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Alice']",21,5,1200.0082987551866,0.0207468879668049,4.2,1,winter,5654.0,51.0,4.2,0.0,0.3
15,2000-01-16,Sunday,0,214,256711,"['Eve', 'Ivy', 'Mia', 'David']",19,4,1199.5841121495328,0.0186915887850467,4.75,1,winter,5655.0,61.0,5.4,0.0,8.6
16,2000-01-17,Monday,0,141,169254,"['Eve', 'Ivy', 'Bob']",12,3,1200.3829787234042,0.0212765957446808,4.0,1,winter,5656.0,55.0,4.4,0.0,8.6
17,2000-01-18,Tuesday,0,175,209980,"['Eve', 'Ivy', 'Mia']",15,3,1199.8857142857144,0.0171428571428571,5.0,1,winter,5657.0,3.0,5.0,0.0,0.0
18,2000-01-19,Wednesday,0,132,158349,"['Eve', 'Ivy', 'Alice']",11,3,1199.6136363636363,0.0227272727272727,3.6666666666666665,1,winter,5658.0,3.0,2.1,0.0,0.0
19,2000-01-20,Thursday,0,100,119966,"['Eve', 'David']",9,2,1199.66,0.02,4.5,1,winter,5659.0,1.0,3.5,0.0,0.0
20,2000-01-21,Friday,0,121,145280,"['Eve', 'Ivy']",10,2,1200.6611570247933,0.0165289256198347,5.0,1,winter,5660.0,1.0,0.1,0.0,0.0
21,2000-01-22,Saturday,0,267,320326,"['Eve', 'Ivy', 'Mia', 'Quinn', 'David']",24,5,1199.7228464419475,0.0187265917602996,4.8,1,winter,5661.0,2.0,2.0,0.0,0.0
